"Year","State","Chemical","Value"
2019,"CALIFORNIA","FUNGICIDE",0.358
2019,"CALIFORNIA","FUNGICIDE",0.324
2019,"CALIFORNIA","FUNGICIDE",0.216
2019,"CALIFORNIA","FUNGICIDE",0.079
2019,"CALIFORNIA","FUNGICIDE",0.182
2019,"CALIFORNIA","INSECTICIDE",0.303
2019,"CALIFORNIA","INSECTICIDE",0.501
2019,"CALIFORNIA","INSECTICIDE",0.129
2019,"CALIFORNIA","INSECTICIDE",0.042
2019,"CALIFORNIA","INSECTICIDE",0.077
2019,"CALIFORNIA","INSECTICIDE",0.084
2019,"CALIFORNIA","INSECTICIDE",0.046
2019,"CALIFORNIA","(NITROGEN)",1
2019,"WASHINGTON","FUNGICIDE",0.281
2019,"WASHINGTON","FUNGICIDE",0.187
2019,"WASHINGTON","FUNGICIDE",0.068
2019,"WASHINGTON","HERBICIDE",0.617
2019,"WASHINGTON","INSECTICIDE",0.216
2019,"WASHINGTON","INSECTICIDE",0.024
2019,"WASHINGTON","OTHER",0.323
2019,"WASHINGTON","(NITROGEN)",30
2017,"OREGON","FUNGICIDE",0.324
2017,"OREGON","FUNGICIDE",6.709
2017,"OREGON","FUNGICIDE",1.594
2017,"OREGON","FUNGICIDE",0.321
2017,"OREGON","FUNGICIDE",0.214
2017,"OREGON","FUNGICIDE",0.514
2017,"OREGON","FUNGICIDE",0.165
2017,"OREGON","HERBICIDE",0.03
2017,"OREGON","HERBICIDE",1.246
2017,"OREGON","HERBICIDE",0.497
2017,"OREGON","HERBICIDE",1.037
2017,"OREGON","INSECTICIDE",1.23
2017,"OREGON","INSECTICIDE",0.025
2017,"WASHINGTON","FUNGICIDE",0.323
2017,"WASHINGTON","FUNGICIDE",8.562
2017,"WASHINGTON","FUNGICIDE",1.27
2017,"WASHINGTON","FUNGICIDE",0.136
2017,"WASHINGTON","FUNGICIDE",0.28
2017,"WASHINGTON","FUNGICIDE",0.136
2017,"WASHINGTON","FUNGICIDE",0.187
2017,"WASHINGTON","FUNGICIDE",0.5
2017,"WASHINGTON","FUNGICIDE",0.06
2017,"WASHINGTON","FUNGICIDE",0.164
2017,"WASHINGTON","HERBICIDE",0.017
2017,"WASHINGTON","HERBICIDE",2.038
2017,"WASHINGTON","HERBICIDE",0.279
2017,"WASHINGTON","HERBICIDE",0.694
2017,"WASHINGTON","HERBICIDE",0.198
2017,"WASHINGTON","INSECTICIDE",0.102
2017,"WASHINGTON","INSECTICIDE",1.079
2017,"WASHINGTON","INSECTICIDE",0.025
2015,"OREGON","FUNGICIDE",0.204
2015,"OREGON","FUNGICIDE",0.335
2015,"OREGON","FUNGICIDE",9.176
2015,"OREGON","FUNGICIDE",0.328
2015,"OREGON","FUNGICIDE",0.219
2015,"OREGON","FUNGICIDE",0.17
2015,"OREGON","HERBICIDE",0.027
2015,"OREGON","HERBICIDE",0.998
2015,"OREGON","HERBICIDE",0.409
2015,"OREGON","HERBICIDE",1.445
2015,"OREGON","INSECTICIDE",0.094
2015,"OREGON","INSECTICIDE",1.759
2015,"OREGON","INSECTICIDE",0.027
2015,"OREGON","INSECTICIDE",0.027
2015,"OREGON","INSECTICIDE",0.026
2015,"OREGON","(NITROGEN)",41
2015,"OREGON","(PHOSPHATE)",17
2015,"OREGON","(POTASH)",34
2015,"WASHINGTON","FUNGICIDE",0.222
2015,"WASHINGTON","FUNGICIDE",0.332
2015,"WASHINGTON","FUNGICIDE",9.875
2015,"WASHINGTON","FUNGICIDE",0.154
2015,"WASHINGTON","FUNGICIDE",0.294
2015,"WASHINGTON","FUNGICIDE",0.154
2015,"WASHINGTON","FUNGICIDE",0.196
2015,"WASHINGTON","FUNGICIDE",0.06
2015,"WASHINGTON","FUNGICIDE",0.169
2015,"WASHINGTON","HERBICIDE",0.021
2015,"WASHINGTON","HERBICIDE",0.943
2015,"WASHINGTON","HERBICIDE",0.291
2015,"WASHINGTON","HERBICIDE",0.75
2015,"WASHINGTON","INSECTICIDE",0.468
2015,"WASHINGTON","INSECTICIDE",0.103
2015,"WASHINGTON","INSECTICIDE",0.108
2015,"WASHINGTON","INSECTICIDE",1.192
2015,"WASHINGTON","INSECTICIDE",0.026
2015,"WASHINGTON","(NITROGEN)",30
2015,"WASHINGTON","(PHOSPHATE)",43
2015,"WASHINGTON","(POTASH)",42
